contributor | title | genre | pages | volume | issue | date | journal title | journal subtitle | issue name | journal editor | publisher | journal location | issue length (pp) | issue height (cm) | issue width (cm)
Lloyd, W. C. | The Houston Trial | images | 130-131 | 15 | 3 | 1918-01-01 | Crisis | A Record of the Darker Races | New Year's Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Charmichael, Waverly T. | 'Taint No Need o' Women Worrin' | poetry | 133-133 | 15 | 3 | 1918-01-01 | Crisis | A Record of the Darker Races | New Year's Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Walts, Frank | The Editor: Drawn from Life | images | 157-157 | 15 | 4 | 1918-02-01 | Crisis | A Record of the Darker Races | Editor's Jubilee Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Brown and Dawson | In Castleton Gardens, Jamaica | images | 166-166 | 15 | 4 | 1918-02-01 | Crisis | A Record of the Darker Races | Editor's Jubilee Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
DuBois, W. E. B. | The Shadow of Years | articles | 167-171 | 15 | 4 | 1918-02-01 | Crisis | A Record of the Darker Races | Editor's Jubilee Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Harrold, Edna May | Leonora's Conversion | fiction | 171-173 | 15 | 4 | 1918-02-01 | Crisis | A Record of the Darker Races | Editor's Jubilee Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
DuBois, W. E. B. | Negro Education | articles | 173-178 | 15 | 4 | 1918-02-01 | Crisis | A Record of the Darker Races | Editor's Jubilee Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Campbell, Thomas | To the United States of North America | poetry | 184-184 | 15 | 4 | 1918-02-01 | Crisis | A Record of the Darker Races | Editor's Jubilee Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Watkins, Lucian B. | These: 7:17, A.M., December 11, 1917 | poetry | 185-185 | 15 | 4 | 1918-02-01 | Crisis | A Record of the Darker Races | Editor's Jubilee Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Wilkinson, Hilda | Drawing of Soldiers to Decorate Lucian Watkin's Poem 'These' | images | 185-185 | 15 | 4 | 1918-02-01 | Crisis | A Record of the Darker Races | Editor's Jubilee Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Battey, C. M. | Cover Image: Photograph of a Woman in Fur-Trimmed Coat | images | 209-209 | 15 | 5 | 1918-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Warbasse, James Peter | The Theory of Co-operation | articles | 221-224 | 15 | 5 | 1918-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Taylor, O. C. W. | The Martyr: A Story | fiction | 224-226 | 15 | 5 | 1918-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Turner, J. M. W. | The Slave Ship | images | 239-239 | 15 | 5 | 1918-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Hill, Arthur G. | The Outer Pocket: [Letters] | letters | 240-240 | 15 | 5 | 1918-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Beasley, Delilah L. | The Outer Pocket: [Letters] | letters | 240-240 | 15 | 5 | 1918-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Thomas, John | The Outer Pocket: [Letters] | letters | 240-240 | 15 | 5 | 1918-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Harris, Lorenzo | The Funny Page | images | 241-241 | 15 | 5 | 1918-03-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Scott, William Edward | Lead Kindly Light | images | 261-261 | 15 | 6 | 1918-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Dunbar-Nelson, Alice M. | Mine Eyes Have Seen | drama | 271-275 | 15 | 6 | 1918-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Wheeler, Laura | Lucy | images | 271-271 | 15 | 6 | 1918-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Wheeler, Laura | Scene from the Play | images | 275-275 | 15 | 6 | 1918-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Johnson, G. Douglas | Desert-Bound | poetry | 275-275 | 15 | 6 | 1918-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Clarana, José | A Letter from Brazil | articles | 276-278 | 15 | 6 | 1918-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Henderson, Anna M. | A Prayer | poetry | 278-278 | 15 | 6 | 1918-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Member of Senior Class | The Outer Pocket: [Letters] | letters | 284-284 | 15 | 6 | 1918-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Cromwell, J. W. | The Outer Pocket: [Letters] | letters | 284-284 | 15 | 6 | 1918-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Brown, Ella A. (Mrs.) | The Outer Pocket: [Letters] | letters | 284-284 | 15 | 6 | 1918-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Harris, Lorenzo | Cartoon: On Certain Advantages in Being a Large, Well-Developed Devil | images | 285-285 | 15 | 6 | 1918-04-01 | Crisis | A Record of the Darker Races | Easter Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Walts, Frank M. | Cover Image: Portrait of Matty Thomas in 'Chu Chin Chow' | images | 1-1 | 16 | 1 | 1918-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Bradford, George G. | Save | articles | 7-7 | 16 | 1 | 1918-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
DuBois, W. E. B. | A Protest | letters | 10-11 | 16 | 1 | 1918-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Maynard, A. K. | Cooperation | letters | 11-11 | 16 | 1 | 1918-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Fisher, Ruth Anna | A Legend of the Blue Jay | fiction | 12-12 | 16 | 1 | 1918-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Johnson, Georgia Douglas | Again It Is the Vibrant May | poetry | 12-12 | 16 | 1 | 1918-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Pereira, P. E. | The Afro-Portuguese | articles | 13-13 | 16 | 1 | 1918-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
White, Walter F. | The Burning of Jim McIlherron: An N.A.A.C.P. Investigation | articles | 16-20 | 16 | 1 | 1918-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Underwood &amp; Underwood | 'The Buffaloes' | images | 28-28 | 16 | 1 | 1918-05-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Jones, Robert Edmund | Cover Image: After the Poster for the Circle for Negro War Relief | images | 53-53 | 16 | 2 | 1918-06-01 | Crisis | A Record of the Darker Races | Soldiers Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Baker, Newton D. | Letter to W. E. B. Du Bois | letters | 59-59 | 16 | 2 | 1918-06-01 | Crisis | A Record of the Darker Races | Soldiers Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Young, Charles | A Comrade to Comrades | letters | 59-60 | 16 | 2 | 1918-06-01 | Crisis | A Record of the Darker Races | Soldiers Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Watson, J. B. | Our First Great Tragedy of the War | articles | 60-60 | 16 | 2 | 1918-06-01 | Crisis | A Record of the Darker Races | Soldiers Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Ballou, C. C. | A Letter From General Ballou | letters | 62-62 | 16 | 2 | 1918-06-01 | Crisis | A Record of the Darker Races | Soldiers Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Swain, John D. | A Lost Dialogue of Plato | articles | 63-64 | 16 | 2 | 1918-06-01 | Crisis | A Record of the Darker Races | Soldiers Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Cotter, Joseph Seamon (Jr.) | A Sonnet to Negro Soldiers | poetry | 64-64 | 16 | 2 | 1918-06-01 | Crisis | A Record of the Darker Races | Soldiers Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Johnson, Fenton | War Profiles | poetry | 65-65 | 16 | 2 | 1918-06-01 | Crisis | A Record of the Darker Races | Soldiers Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Walts, Frank | Cover Image: Sketch of Nora E. Johnson | images | 105-105 | 16 | 3 | 1918-07-01 | Crisis | A Record of the Darker Races | Education Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Dillard, James H. | Education: A Brief Confession of Faith | articles | 115-116 | 16 | 3 | 1918-07-01 | Crisis | A Record of the Darker Races | Education Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Watkins, Lucian B. | Star of Ethiopia | poetry | 165-165 | 16 | 4 | 1918-08-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Spingarn, Arthur B. (Captain) | The Health and Morals of Colored Troops | articles | 166-168 | 16 | 4 | 1918-08-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Harrison, John L. | A Chance to Make Good | fiction | 168-172 | 16 | 4 | 1918-08-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Walts, Frank | Cover Image: Portrait of Gertrude Royal in 'Chu Chin Chow' | images | 209-209 | 16 | 5 | 1918-09-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Storey, Moorfield | The Outer Pocket: [Letters] | letters | 218-219 | 16 | 5 | 1918-09-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Hurst, John | The Outer Pocket: [Letters] | letters | 218-219 | 16 | 5 | 1918-09-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Bishop, Hutchins C. | The Outer Pocket: [Letters] | letters | 218-219 | 16 | 5 | 1918-09-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Lewis, D. R. | The Outer Pocket: [Letters] | letters | 218-219 | 16 | 5 | 1918-09-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Ford, George W. | The Outer Pocket: [Letters] | letters | 218-219 | 16 | 5 | 1918-09-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Resolutions of Washington Branch, N.A.A.C.P. | The Outer Pocket: [Letters] | letters | 218-219 | 16 | 5 | 1918-09-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Thomas, V. P. | The Outer Pocket: [Letters] | letters | 218-219 | 16 | 5 | 1918-09-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Wilson, William H. | The Outer Pocket: [Letters] | letters | 218-219 | 16 | 5 | 1918-09-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Johnson, Henry Lincoln | The Outer Pocket: [Letters] | letters | 218-219 | 16 | 5 | 1918-09-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Hunt, Ida Gibbs | The Outer Pocket: [Letters] | letters | 218-219 | 16 | 5 | 1918-09-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Steward, T. G. | The Outer Pocket: [Letters] | letters | 218-219 | 16 | 5 | 1918-09-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Penn, I. Garland | The Outer Pocket: [Letters] | letters | 218-219 | 16 | 5 | 1918-09-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Wolo, Plenyono Gbe | What of Liberia? | articles | 220-220 | 16 | 5 | 1918-09-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
White, Walter F. | The Work of a Mob: An Investigation | articles | 221-223 | 16 | 5 | 1918-09-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Holmes, John Haynes | These Things Shall Be! | articles | 226-226 | 16 | 5 | 1918-09-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Bohanan, Otto Leland | God Gave Us Song | poetry | 226-226 | 16 | 5 | 1918-09-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Johnson, Georgia D. | Passing of the Ex-Slave | poetry | 226-226 | 16 | 5 | 1918-09-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Cheyney, E. Ralph | Compensation | poetry | 226-226 | 16 | 5 | 1918-09-01 | Crisis | A Record of the Darker Races |  | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Scurlock | Cover Image: Photograph of Young Girl | images | 261-261 | 16 | 6 | 1918-10-01 | Crisis | A Record of the Darker Races | [Children's Number] | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Lee, Mary Effie | O Autumn, Autumn! | poetry | 269-269 | 16 | 6 | 1918-10-01 | Crisis | A Record of the Darker Races | [Children's Number] | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Johnston, Harry H. Sir | Tales for Little Folk: The Hare and the Elephant | fiction | 270-271 | 16 | 6 | 1918-10-01 | Crisis | A Record of the Darker Races | [Children's Number] | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Wheeler, Laura | Drawing of Hare | images | 271-271 | 16 | 6 | 1918-10-01 | Crisis | A Record of the Darker Races | [Children's Number] | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Johnston, Harry H. Sir | Tales for Little Folk: The Bird and the Elephant | fiction | 271-272 | 16 | 6 | 1918-10-01 | Crisis | A Record of the Darker Races | [Children's Number] | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Wheeler, Laura | Drawing of Elephant and Bird | images | 271-271 | 16 | 6 | 1918-10-01 | Crisis | A Record of the Darker Races | [Children's Number] | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Cozart, Leland S. | Mother Williams | articles | 272-273 | 16 | 6 | 1918-10-01 | Crisis | A Record of the Darker Races | [Children's Number] | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Bird, Augusta | Race Purity | fiction | 275-275 | 16 | 6 | 1918-10-01 | Crisis | A Record of the Darker Races | [Children's Number] | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Watkins, Lucian B. | The Black Madonna and Her Babe | poetry | 281-281 | 16 | 6 | 1918-10-01 | Crisis | A Record of the Darker Races | [Children's Number] | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Scott, William Edward | Cover Image: 'At Bay' | images | 1-1 | 17 | 1 | 1918-11-01 | Crisis | A Record of the Darker Races | Eighth Anniversary Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Du Bois, W. E. B. | Opinion | articles | 7-11 | 17 | 1 | 1918-11-01 | Crisis | A Record of the Darker Races | Eighth Anniversary Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Douglass, Frederick | Broadside Issued in 1863: by Frederick Douglass and Others | images | 11-11 | 17 | 1 | 1918-11-01 | Crisis | A Record of the Darker Races | Eighth Anniversary Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Jackson, Mary E. | The Colored Woman in Industry | articles | 12-17 | 17 | 1 | 1918-11-01 | Crisis | A Record of the Darker Races | Eighth Anniversary Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Lee, Mary Effie | Morning Light | poetry | 17-17 | 17 | 1 | 1918-11-01 | Crisis | A Record of the Darker Races | Eighth Anniversary Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Shillady, John R. (Secretary) | Finances of the N.A.A.C.P. | articles | 18-21 | 17 | 1 | 1918-11-01 | Crisis | A Record of the Darker Races | Eighth Anniversary Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Kreymborg, Alfred | Red Chant | poetry | 31-31 | 17 | 1 | 1918-11-01 | Crisis | A Record of the Darker Races | Eighth Anniversary Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Saunders, Vincent | The Horizon | articles | 32-37 | 17 | 1 | 1918-11-01 | Crisis | A Record of the Darker Races | Eighth Anniversary Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Scott, William E. | Cover Image: 'The Flight into Egypt' | images | 53-53 | 17 | 2 | 1918-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Du Bois, W. E. B. | Opinion | articles | 59-63 | 17 | 2 | 1918-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Spingarn, J. E. | In France: Letter to Dr. Du Bois | letters | 60-61 | 17 | 2 | 1918-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Reaulx, G. De Font | In France : Letter to the Commanding General, 167th Field Artillery Brigade, La Courtine, Crouse | letters | 61-61 | 17 | 2 | 1918-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Ricks, Helen G. | At the Turn of the Road: A Story | fiction | 64-66 | 17 | 2 | 1918-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Bentley, Florence Lewis | A Negro Woman to her Adopted Solidier Boy | fiction | 66-67 | 17 | 2 | 1918-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Bruce, Clara Burrill | We Who Are Dark | poetry | 67-67 | 17 | 2 | 1918-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Bates, Katherine Lee | A National Hymn: America the Beautiful | poetry | 68-68 | 17 | 2 | 1918-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Dett, R. Nathaniel | A National Hymn: America the Beautiful | poetry | 68-68 | 17 | 2 | 1918-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Watkins, Lucian B. | Ballade to Paul Laurence Dunbar | poetry | 72-72 | 17 | 2 | 1918-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Saunders, Vincent | The Horizon | articles | 82-90 | 17 | 2 | 1918-12-01 | Crisis | A Record of the Darker Races | Christmas Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Tennyson, Alfred Lord | 'Ring in the Thousand Years of Peace!' | poetry | 105-105 | 17 | 3 | 1919-01-01 | Crisis | A Record of the Darker Races | New Year Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Kranz, J. P. | Correspondence: Letter to Oswald Villard | letters | 113-114 | 17 | 3 | 1919-01-01 | Crisis | A Record of the Darker Races | New Year Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Villard, Oswald Garrison | Correspondence: Villard's Response to J. P. Kranz | letters | 114-114 | 17 | 3 | 1919-01-01 | Crisis | A Record of the Darker Races | New Year Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Washington, Mary J. | Peace on Earth | poetry | 115-115 | 17 | 3 | 1919-01-01 | Crisis | A Record of the Darker Races | New Year Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Goodman, Philip | What the Statute Covers and What It Doesn't | articles | 116-116 | 17 | 3 | 1919-01-01 | Crisis | A Record of the Darker Races | New Year Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Cromwell, J. W. | The War Work Council | articles | 116-117 | 17 | 3 | 1919-01-01 | Crisis | A Record of the Darker Races | New Year Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Blount, George W. | Welfare Work and Negro Employees | articles | 117-118 | 17 | 3 | 1919-01-01 | Crisis | A Record of the Darker Races | New Year Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Fauset, Jessie | The Return | poetry | 118-118 | 17 | 3 | 1919-01-01 | Crisis | A Record of the Darker Races | New Year Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Cotter, Joseph S. | To Bishop Hood | poetry | 125-125 | 17 | 3 | 1919-01-01 | Crisis | A Record of the Darker Races | New Year Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Shaw, Charles A. (Lieutenant) | The Outer Pocket: [Letters] | letters | 126-126 | 17 | 3 | 1919-01-01 | Crisis | A Record of the Darker Races | New Year Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Lozareto (Madame) | The Outer Pocket: [Letters] | letters | 126-126 | 17 | 3 | 1919-01-01 | Crisis | A Record of the Darker Races | New Year Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Wallace, Sam B. | The Outer Pocket: [Letters] | letters | 126-126 | 17 | 3 | 1919-01-01 | Crisis | A Record of the Darker Races | New Year Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Pike, H. C. | The Outer Pocket: [Letters] | letters | 126-126 | 17 | 3 | 1919-01-01 | Crisis | A Record of the Darker Races | New Year Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Williams, Robert W. (Captain) | The Outer Pocket: [Letters] | letters | 126-126 | 17 | 3 | 1919-01-01 | Crisis | A Record of the Darker Races | New Year Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
Adams, John Henry | 'Disturbing the Peace, Your Honor': A Cartoon | images | 134-134 | 17 | 3 | 1919-01-01 | Crisis | A Record of the Darker Races | New Year Number | Du Bois, W. E. Burghardt | National Association for the Advancement of Colored People | New York | 52 | 22.9 | 15.2      
